,distance,width,movement_time
4329,120,10,674
4561,75,10,594
5788,210,8,985
3622,60,6,765
1674,210,20,638
4752,75,8,672
201,75,10,712
2038,160,18,755
401,210,10,1129
4993,40,6,616
5650,75,18,321
5287,75,14,409
4626,40,10,518
2481,120,10,914
2756,160,14,755
3526,210,20,1004
4008,160,14,750
4716,40,18,498
5543,40,10,478
1654,210,14,802
805,160,14,979
2274,210,18,687
4381,210,18,923
5784,60,8,536
5761,75,14,418
208,210,6,866
6101,40,10,493
4139,40,14,438
4580,210,8,1008
5640,60,20,327
5844,40,6,545
3218,160,6,997
2454,60,14,624
1160,40,6,714
3393,120,20,576
3781,210,18,791
4466,75,20,415
958,60,10,773
2030,160,14,1096
5104,60,8,430
1895,75,10,591
709,40,10,691
2683,75,20,421
1345,160,18,702
1721,40,8,457
5729,120,6,702
680,40,8,682
2328,120,18,464
3651,40,18,608
5001,40,6,633
5672,210,6,775
4090,75,8,634
3797,75,18,645
3272,60,6,759
2421,75,14,584
1715,40,14,440
3576,40,6,845
2560,160,18,771
1172,75,14,600
3148,75,20,471
4359,210,14,792
3856,210,14,937
508,40,18,734
5394,40,18,359
1689,40,10,432
862,160,10,969
1728,60,18,418
5221,40,6,482
5038,160,20,656
5277,120,8,614
5550,120,8,686
1931,75,20,663
3837,120,14,759
6142,60,18,479
2869,120,14,830
2662,40,18,367
3975,120,10,801
383,40,8,607
956,60,8,769
5933,60,8,631
4613,60,6,614
3937,75,6,504
481,120,20,1151
756,40,8,720
3507,60,10,1022
2335,60,14,578
1561,120,10,727
2909,60,10,669
4822,75,20,573
4167,160,8,674
5400,120,18,457
1321,60,8,514
5637,120,18,506
1153,160,14,784
3842,160,18,806
1124,75,14,682
4040,60,6,562
5665,210,6,698
233,60,20,575
2865,120,14,785
1272,75,10,641
976,60,6,767
2942,210,10,979
3948,160,10,800
3989,40,8,498
4057,75,10,688
4765,120,20,559
5375,75,18,415
6100,40,10,659
3538,210,8,1032
1740,75,6,658
3004,120,6,1199
1671,210,20,608
4843,160,8,695
3261,210,6,1279
5198,40,8,415
2739,210,8,1345
4821,75,20,466
5839,40,6,808
4046,210,8,800
1307,210,20,871
1452,120,20,574
5826,210,8,1201
5119,210,6,890
1857,60,8,498
3858,210,10,1207
4270,40,18,530
6105,40,10,728
1099,210,10,872
1330,40,10,432
1965,75,14,717
997,60,18,578
3470,120,6,1073
1908,75,20,278
4936,60,20,424
284,40,10,551
4744,120,14,624
4052,210,8,839
2082,120,20,582
311,40,18,414
5068,60,14,438
4552,160,10,887
635,210,6,1456
1504,75,20,473
2235,40,10,414
1701,160,18,533
637,210,6,1034
5459,210,14,586
733,210,8,1457
1636,40,6,482
3619,60,6,904
774,120,18,1047
3321,210,14,1221
3059,75,14,741
884,120,8,903
3351,210,18,880
1959,75,14,936
2789,210,14,770
253,40,20,494
3806,40,14,497
5955,210,10,1023
1597,210,8,1030
319,60,8,816
3641,75,8,666
153,60,6,727
4351,120,6,896
2388,160,8,968
1725,40,8,469
358,210,10,1063
533,75,20,705
5563,160,8,691
824,75,6,1158
4049,210,8,896
2332,120,18,634
2467,210,18,807
3368,60,14,584
429,60,10,826
4001,160,14,710
4785,75,14,688
2155,40,14,456
2163,40,14,393
5187,40,8,455
1666,210,20,697
2904,60,10,852
553,160,6,1369
947,75,10,711
123,160,18,661
3981,210,14,680
520,210,20,862
3724,120,8,929
342,120,20,794
5580,210,10,706
782,120,18,815
3328,210,8,1256
2236,40,10,376
4806,210,18,861
1927,75,20,431
1380,160,10,718
5877,75,10,715
159,60,6,679
2741,160,6,1186
1135,40,20,486
1786,60,6,638
5885,160,18,1184
4482,120,8,784
5239,160,8,849
564,120,8,1015
5860,160,6,1392
1317,60,8,512
1278,75,10,720
3340,75,10,1258
579,75,6,801
37,210,20,920
2516,60,18,474
957,60,8,649
4724,40,10,546
3406,160,18,602
1571,120,18,538
1769,60,14,391
1536,60,20,366
1185,60,20,693
2050,210,14,840
4037,60,6,590
1300,120,18,645
4041,210,8,1232
2443,75,18,720
3874,160,20,639
211,210,6,1221
3587,60,20,623
1152,160,14,790
5544,120,8,728
3735,60,14,594
3531,210,8,1352
2939,210,10,913
5387,40,18,316
2847,60,6,755
2336,60,14,511
2692,75,10,672
2639,160,20,784
1492,210,8,885
1757,40,18,234
1301,120,18,675
1118,210,14,768
5554,160,8,920
4775,60,14,518
2910,60,10,869
4488,120,8,756
4781,75,14,618
1323,60,8,583
433,40,6,920
3097,75,18,678
3693,60,18,670
510,40,18,511
3106,75,18,325
2248,75,18,514
5281,75,14,405
4857,60,6,598
293,60,10,858
1582,75,18,599
1625,75,8,515
799,40,18,610
3202,60,10,806
4850,160,8,978
1383,160,10,800
4415,120,20,592
5021,75,8,753
2517,60,18,550
2678,75,20,511
2087,120,20,662
3502,60,10,1016
2522,160,6,1162
1297,120,18,730
4100,60,18,478
4129,75,20,374
5630,120,18,446
3356,60,20,530
1638,40,6,689
286,40,10,480
3410,160,18,817
4363,75,6,711
4252,60,8,530
1730,60,18,304
509,40,18,530
3985,210,14,809
134,120,18,695
2251,75,18,347
227,160,14,726
4242,40,6,482
190,160,8,1091
1974,160,10,1073
3759,75,10,712
3814,160,10,656
731,210,8,1209
943,75,10,695
603,160,18,889
5418,160,10,704
5584,210,10,608
3966,120,10,1385
3517,160,8,1112
2013,40,8,553
591,120,6,1107
1077,210,20,839
4921,210,6,968
3477,210,10,1128
276,210,18,824
3409,160,18,536
4398,40,8,577
182,160,8,982
2982,75,6,847
346,120,10,984
3734,60,14,600
5144,210,8,968
5898,120,20,648
347,120,10,833
1849,60,8,497
1028,160,20,625
1400,160,6,920
4255,60,8,948
4721,40,10,586
1904,75,10,373
4770,60,14,701
4780,75,14,585
1092,120,14,671
2529,160,6,1168
6104,40,10,471
4336,120,10,736
2416,120,20,711
3640,75,8,835
5751,75,14,421
